2023-05-16 15:25:06, Valore: open
2023-05-16 15:25:31, Valore: close
2023-05-16 15:25:37, Valore: open
2023-05-16 15:26:06, Valore: close
2023-05-16 15:26:09, Valore: open
2023-05-16 15:27:19, Valore: open
2023-05-16 15:27:33, Valore: open
2023-05-16 15:56:49, Valore: open
2023-05-17 10:51:04, Valore: open
2023-05-17 10:51:53, Valore: close
2023-05-17 10:51:58, Valore: open
2023-05-17 10:57:22, Valore: close
2023-05-17 10:57:27, Valore: open
2023-05-17 11:15:25, Valore: open
2023-05-17 11:23:14, Valore: open
2023-05-17 11:26:49, Valore: open
2023-05-17 11:46:37, Valore: open
2023-05-17 11:55:25, Valore: open
2023-05-17 11:57:01, Valore: open
2023-05-17 12:01:50, Valore: open
2023-05-17 12:10:41, Valore: open
2023-05-17 12:15:55, Valore: open
